# w(nm)	HiR-Si	Si-SiN	Al2O3	SiO2
4.000999999999999801e+01	1.623076895278067695e+03	1.761863813140916591e+03	1.617590221672780217e+03	1.868890787076576544e+03
4.083999999999999631e+01	1.617805641653874318e+03	1.754409325937255744e+03	1.610508138743507061e+03	1.862490667674747328e+03
4.166999999999999460e+01	1.612704358836398114e+03	1.747195207589658821e+03	1.603654416548614336e+03	1.856296919192507403e+03
4.250000000000000000e+01	1.607764283422088283e+03	1.740209065091777120e+03	1.597017281199932086e+03	1.850298901498858413e+03
4.332999999999999829e+01	1.602977260426281191e+03	1.733439365849439582e+03	1.590585776237802747e+03	1.844486713177687307e+03
4.415999999999999659e+01	1.598335690570077531e+03	1.726875363134950021e+03	1.584349691809465639e+03	1.838851127525862466e+03
4.498999999999999488e+01	1.593832483011735803e+03	1.720507029240899783e+03	1.578299501162305205e+03	1.833383535161812915e+03
4.582000000000000028e+01	1.589461012872549645e+03	1.714324995414224531e+03	1.572426303578629131e+03	1.828075892455358371e+03
4.664999999999999858e+01	1.585215082994920976e+03	1.708320497775341664e+03	1.566721772996524123e+03	1.822920675096076820e+03
4.747999999999999687e+01	1.581088889444905817e+03	1.702485328532631684e+03	1.561178111661520234e+03	1.817910836208046248e+03
4.830999999999999517e+01	1.577076990335084702e+03	1.696811791892452447e+03	1.555788008239210058e+03	1.813039768495974840e+03
4.914000000000000057e+01	1.573174277597969422e+03	1.691292664141728892e+03	1.550544599891995858e+03	1.808301269973737817e+03
4.996999999999999886e+01	1.569375951386764882e+03	1.685921157446092366e+03	1.545441437885766618e+03	1.803689512882932377e+03
5.079999999999999716e+01	1.565677496820365377e+03	1.680690886963183402e+03	1.540472456346124318e+03	1.799199015457698351e+03
5.162999999999999545e+01	1.562074662824024927e+03	1.675595840919607326e+03	1.535631943830206183e+03	1.794824616234007408e+03
5.246000000000000085e+01	1.558563442846967064e+03	1.670630353342215358e+03	1.530914517420231732e+03	1.790561450637854477e+03
5.328999999999999915e+01	1.555140057264074130e+03	1.665789079170973764e+03	1.526315099079659149e+03	1.786404929618176084e+03
5.411999999999999744e+01	1.551800937291238370e+03	1.661066971512417922e+03	1.521828894042990214e+03	1.782350720117593937e+03
5.494999999999999574e+01	1.548542710263501704e+03	1.656459260820333839e+03	1.517451371036523369e+03	1.778394727197793600e+03
5.577999999999999403e+01	1.545362186142162500e+03	1.651961435814411061e+03	1.513178244150255296e+03	1.774533077657057447e+03
5.660999999999999943e+01	1.542256345131900844e+03	1.647569225968666615e+03	1.509005456201131437e+03	1.770762104995537356e+03
5.743999999999999773e+01	1.539222326302061674e+03	1.643278585419918045e+03	1.504929163445405038e+03	1.767078335599724824e+03
5.826999999999999602e+01	1.536257417117647719e+03	1.639085678162754448e+03	1.500945721513221997e+03	1.763478476031455102e+03
5.909999999999999432e+01	1.533359043795678645e+03	1.634986864411717306e+03	1.497051672452109642e+03	1.759959401319029894e+03
5.992999999999999972e+01	1.530524762411424945e+03	1.630978688023936684e+03	1.493243732777938931e+03	1.756518144158806990e+03
6.075999999999999801e+01	1.527752250686864954e+03	1.627057864886558036e+03	1.489518782442482916e+03	1.753151884945113807e+03
6.158999999999999631e+01	1.525039300400648244e+03	1.623221272183078327e+03	1.485873854635974112e+03	1.749857942554764122e+03
6.241999999999999460e+01	1.522383810364955934e+03	1.619465938461388077e+03	1.482306126351318198e+03	1.746633765819879955e+03
6.325000000000000000e+01	1.519783779920132019e+03	1.615789034434021232e+03	1.478812909643936564e+03	1.743476925629362540e+03
6.407999999999999829e+01	1.517237302902754436e+03	1.612187864447941593e+03	1.475391643527697397e+03	1.740385107605196481e+03
6.490999999999999659e+01	1.514742562047151296e+03	1.608659858567293668e+03	1.472039886453187592e+03	1.737356105305022993e+03
6.573999999999999488e+01	1.512297823784195089e+03	1.605202565217972733e+03	1.468755309319740718e+03	1.734387813907066175e+03
6.656999999999999318e+01	1.509901433404626459e+03	1.601813644347711488e+03	1.465535688977224254e+03	1.731478224337662596e+03
6.739999999999999147e+01	1.507551810557245517e+03	1.598490861059721055e+03	1.462378902177725195e+03	1.728625417805363668e+03
6.822999999999998977e+01	1.505247445055028948e+03	1.595232079681797813e+03	1.459282919940947295e+03	1.725827560708912415e+03
6.906000000000000227e+01	1.502986892964705476e+03	1.592035258236291838e+03	1.456245802300442847e+03	1.723082899889383498e+03
6.989000000000000057e+01	1.500768772957535930e+03	1.588898443279458888e+03	1.453265693400776854e+03	1.720389758199460630e+03
7.071999999999999886e+01	1.498591762901010043e+03	1.585819765081519563e+03	1.450340816918375367e+03	1.717746530365231592e+03
7.154999999999999716e+01	1.496454596672992011e+03	1.582797433121293579e+03	1.447469471781234006e+03	1.715151679118064294e+03
7.237999999999999545e+01	1.494356061181422774e+03	1.579829731871531749e+03	1.444650028164804098e+03	1.712603731576064774e+03
7.320999999999999375e+01	1.492294993574175805e+03	1.576915016853156430e+03	1.441880923743349740e+03	1.710101275856408392e+03
7.403999999999999204e+01	1.490270278624955836e+03	1.574051710938459564e+03	1.439160660177828504e+03	1.707642957901415230e+03
7.486999999999999034e+01	1.488280846282325001e+03	1.571238300884990622e+03	1.436487799822936267e+03	1.705227478502689337e+03
7.570000000000000284e+01	1.486325669370023206e+03	1.568473334083402278e+03	1.433860962637419107e+03	1.702853590508949310e+03
7.653000000000000114e+01	1.484403761427719928e+03	1.565755415503890617e+03	1.431278823283063730e+03	1.700520096204366837e+03
7.735999999999999943e+01	1.482514174682228713e+03	1.563083204827132477e+03	1.428740108398960274e+03	1.698225844845306710e+03
7.818999999999999773e+01	1.480655998140005522e+03	1.560455413746739168e+03	1.426243594038722449e+03	1.695969730344322443e+03
7.901999999999999602e+01	1.478828355792509001e+03	1.557870803431320155e+03	1.423788103259334548e+03	1.693750689091188633e+03
7.984999999999999432e+01	1.477030404926648316e+03	1.555328182135153384e+03	1.421372503851189776e+03	1.691567697901518386e+03
8.067999999999999261e+01	1.475261334533156969e+03	1.552826402947347333e+03	1.418995706199692904e+03	1.689419772084286024e+03
8.150999999999999091e+01	1.473520363806294426e+03	1.550364361670148810e+03	1.416656661269566939e+03	1.687305963620229249e+03
8.233999999999998920e+01	1.471806740728772638e+03	1.547940994817783121e+03	1.414354358703660409e+03	1.685225359443732486e+03
8.317000000000000171e+01	1.470119740736277436e+03	1.545555277727846260e+03	1.412087825028691896e+03	1.683177079821348343e+03
8.400000000000000000e+01	1.468458665456370909e+03	1.543206222777890844e+03	1.409856121960929840e+03	1.681160276820628269e+03
8.482999999999999829e+01	1.466822841516953758e+03	1.540892877700382542e+03	1.407658344805327033e+03	1.679174132863413433e+03
8.565999999999999659e+01	1.465211619419824729e+03	1.538614323989709419e+03	1.405493620942112557e+03	1.677217859358157511e+03
8.648999999999999488e+01	1.463624372475191649e+03	1.536369675395395689e+03	1.403361108395280553e+03	1.675290695406262785e+03
8.731999999999999318e+01	1.462060495793297150e+03	1.534158076496079048e+03	1.401259994477805776e+03	1.673391906577752934e+03
8.814999999999999147e+01	1.460519405329597475e+03	1.531978701349224593e+03	1.399189494508815187e+03	1.671520783751973795e+03
8.897999999999998977e+01	1.459000536980175411e+03	1.529830752211879826e+03	1.397148850598250192e+03	1.669676642019285282e+03
8.981000000000000227e+01	1.457503345724316205e+03	1.527713458328123352e+03	1.395137330494889738e+03	1.667858819640014190e+03
9.064000000000000057e+01	1.456027304811380645e+03	1.525626074779159353e+03	1.393154226493892338e+03	1.666066677057192010e+03
9.146999999999999886e+01	1.454571904989308223e+03	1.523567881392285926e+03	1.391198854400267692e+03	1.664299595959839280e+03
9.229999999999999716e+01	1.453136653772273576e+03	1.521538181705228908e+03	1.389270552544950533e+03	1.662556978393785585e+03
9.312999999999999545e+01	1.451721074745170881e+03	1.519536301982561781e+03	1.387368680850355986e+03	1.660838245917207132e+03
9.395999999999999375e+01	1.450324706902782282e+03	1.517561590281171902e+03	1.385492619942534020e+03	1.659142838798273715e+03
9.478999999999999204e+01	1.448947104021606719e+03	1.515613415561914280e+03	1.383641770307199977e+03	1.657470215252451226e+03
9.561999999999999034e+01	1.447587834062466982e+03	1.513691166844792633e+03	1.381815551487123685e+03	1.655819850717175086e+03
9.644999999999998863e+01	1.446246478602145999e+03	1.511794252405193447e+03	1.380013401318513843e+03	1.654191237161768186e+03
9.728000000000000114e+01	1.444922632292402341e+03	1.509922099008835630e+03	1.378234775204189646e+03	1.652583882430601079e+03
