# w(nm)	HiR-Si	Si-SiN	Al2O3	SiO2
1.927299999999999898e+02	1.354942432144706800e+03	1.382674142753181968e+03	1.257343752902816050e+03	1.543333964706546794e+03
1.935600000000000023e+02	1.354453723201209868e+03	1.381983021660299528e+03	1.256687158188754665e+03	1.542740596256816843e+03
1.943899999999999864e+02	1.353967821381164640e+03	1.381295870337673477e+03	1.256034334926893280e+03	1.542150636090304943e+03
1.952199999999999989e+02	1.353484695672671023e+03	1.380612644928978170e+03	1.255385241451839875e+03	1.541564046553754906e+03
1.960499999999999829e+02	1.353004315542571248e+03	1.379933302254915816e+03	1.254739836741406634e+03	1.540980790575178162e+03
1.968799999999999955e+02	1.352526650927034552e+03	1.379257799799898748e+03	1.254098080403960921e+03	1.540400831652421857e+03
1.977099999999999795e+02	1.352051672222363550e+03	1.378586095699050702e+03	1.253459932666072064e+03	1.539824133842005722e+03
1.985399999999999920e+02	1.351579350276020250e+03	1.377918148725513674e+03	1.252825354360454639e+03	1.539250661748227458e+03
1.993700000000000045e+02	1.351109656377861938e+03	1.377253918278056972e+03	1.252194306914195977e+03	1.538680380512521879e+03
2.001999999999999886e+02	1.350642562251586241e+03	1.376593364368974107e+03	1.251566752337258549e+03	1.538113255803071752e+03
2.010300000000000011e+02	1.350178040046373553e+03	1.375936447612269149e+03	1.250942653211254310e+03	1.537549253804663294e+03
2.018599999999999852e+02	1.349716062328725684e+03	1.375283129212111362e+03	1.250321972678478687e+03	1.536988341208775182e+03
2.026899999999999977e+02	1.349256602074494367e+03	1.374633370951564302e+03	1.249704674431201056e+03	1.536430485203900162e+03
2.035199999999999818e+02	1.348799632661093710e+03	1.373987135181571375e+03	1.249090722701200548e+03	1.535875653466090171e+03
2.043499999999999943e+02	1.348345127859892273e+03	1.373344384810197198e+03	1.248480082249546513e+03	1.535323814149719283e+03
2.051799999999999784e+02	1.347893061828779537e+03	1.372705083292115887e+03	1.247872718356609766e+03	1.534774935878456972e+03
2.060099999999999909e+02	1.347443409104902912e+03	1.372069194618338997e+03	1.247268596812305304e+03	1.534228987736451472e+03
2.068400000000000034e+02	1.346996144597567763e+03	1.371436683306176064e+03	1.246667683906553521e+03	1.533685939259707993e+03
2.076699999999999875e+02	1.346551243581302288e+03	1.370807514389426387e+03	1.246069946419962434e+03	1.533145760427669757e+03
2.085000000000000000e+02	1.346108681689075411e+03	1.370181653408787724e+03	1.245475351614715009e+03	1.532608421654981839e+03
2.093299999999999841e+02	1.345668434905668846e+03	1.369559066402483495e+03	1.244883867225665654e+03	1.532073893783444646e+03
2.101599999999999966e+02	1.345230479561198536e+03	1.368939719897100986e+03	1.244295461451634765e+03	1.531542148074147917e+03
2.109899999999999807e+02	1.344794792324777745e+03	1.368323580898630098e+03	1.243710102946895631e+03	1.531013156199777086e+03
2.118199999999999932e+02	1.344361350198324089e+03	1.367710616883704688e+03	1.243127760812854604e+03	1.530486890237093576e+03
2.126499999999999773e+02	1.343930130510502067e+03	1.367100795791036489e+03	1.242548404589910660e+03	1.529963322659579262e+03
2.134799999999999898e+02	1.343501110910798616e+03	1.366494086013037759e+03	1.241972004249498696e+03	1.529442426330246235e+03
2.143100000000000023e+02	1.343074269363731219e+03	1.365890456387629456e+03	1.241398530186305152e+03	1.528924174494600265e+03
2.151399999999999864e+02	1.342649584143180391e+03	1.365289876190226551e+03	1.240827953210654869e+03	1.528408540773763661e+03
2.159699999999999989e+02	1.342227033826845854e+03	1.364692315125897949e+03	1.240260244541063230e+03	1.527895499157740915e+03
2.167999999999999829e+02	1.341806597290825039e+03	1.364097743321700591e+03	1.239695375796950884e+03	1.527385023998838506e+03
2.176299999999999955e+02	1.341388253704306862e+03	1.363506131319174074e+03	1.239133318991515807e+03	1.526877090005221135e+03
2.184599999999999795e+02	1.340971982524379882e+03	1.362917450067000118e+03	1.238574046524758160e+03	1.526371672234608923e+03
2.192899999999999920e+02	1.340557763490954130e+03	1.362331670913818471e+03	1.238017531176655666e+03	1.525868746088109674e+03
2.201199999999999761e+02	1.340145576621789132e+03	1.361748765601198784e+03	1.237463746100485878e+03	1.525368287304184832e+03
2.209499999999999886e+02	1.339735402207628340e+03	1.361168706256758014e+03	1.236912664816287815e+03	1.524870271952740723e+03
2.217800000000000011e+02	1.339327220807437925e+03	1.360591465387427434e+03	1.236364261204466402e+03	1.524374676429346664e+03
2.226099999999999852e+02	1.338921013243744937e+03	1.360017015872859929e+03	1.235818509499526954e+03	1.523881477449576550e+03
2.234399999999999977e+02	1.338516760598075280e+03	1.359445330958979412e+03	1.235275384283948370e+03	1.523390652043469117e+03
2.242699999999999818e+02	1.338114444206485132e+03	1.358876384251659601e+03	1.234734860482177282e+03	1.522902177550101442e+03
2.250999999999999943e+02	1.337714045655187874e+03	1.358310149710542191e+03	1.234196913354755452e+03	1.522416031612281131e+03
2.259299999999999784e+02	1.337315546776271276e+03	1.357746601642977566e+03	1.233661518492562436e+03	1.521932192171345378e+03
2.267599999999999909e+02	1.336918929643504043e+03	1.357185714698096717e+03	1.233128651811183772e+03	1.521450637462068698e+03
2.275899999999999750e+02	1.336524176568227176e+03	1.356627463860999796e+03	1.232598289545391026e+03	1.520971346007676402e+03
2.284199999999999875e+02	1.336131270095333775e+03	1.356071824447070412e+03	1.232070408243738711e+03	1.520494296614961058e+03
2.292500000000000000e+02	1.335740192999327974e+03	1.355518772096403609e+03	1.231544984763270577e+03	1.520019468369499464e+03
2.300799999999999841e+02	1.335350928280465041e+03	1.354968282768346853e+03	1.231021996264334803e+03	1.519546840630965562e+03
2.309099999999999966e+02	1.334963459160972434e+03	1.354420332736154251e+03	1.230501420205504019e+03	1.519076393028540679e+03
2.317399999999999807e+02	1.334577769081344286e+03	1.353874898581749221e+03	1.229983234338599914e+03	1.518608105456416979e+03
2.325699999999999932e+02	1.334193841696713662e+03	1.353331957190591766e+03	1.229467416703816980e+03	1.518141958069391421e+03
2.333999999999999773e+02	1.333811660873296205e+03	1.352791485746650096e+03	1.228953945624945391e+03	1.517677931278547021e+03
2.342299999999999898e+02	1.333431210684907001e+03	1.352253461727475269e+03	1.228442799704691424e+03	1.517216005747025520e+03
2.350600000000000023e+02	1.333052475409544286e+03	1.351717862899369493e+03	1.227933957820087471e+03	1.516756162385878724e+03
2.358899999999999864e+02	1.332675439526044556e+03	1.351184667312655620e+03	1.227427399117997993e+03	1.516298382350007159e+03
2.367199999999999989e+02	1.332300087710802245e+03	1.350653853297038495e+03	1.226923103010711657e+03	1.515842647034176707e+03
2.375499999999999829e+02	1.331926404834555115e+03	1.350125399457058847e+03	1.226421049171623963e+03	1.515388938069116875e+03
2.383799999999999955e+02	1.331554375959232630e+03	1.349599284667636766e+03	1.225921217531001275e+03	1.514937237317693189e+03
2.392099999999999795e+02	1.331183986334865949e+03	1.349075488069700896e+03	1.225423588271831022e+03	1.514487526871156433e+03
2.400399999999999920e+02	1.330815221396560446e+03	1.348553989065907899e+03	1.224928141825751936e+03	1.514039789045465113e+03
2.408699999999999761e+02	1.330448066761525297e+03	1.348034767316441503e+03	1.224434858869065465e+03	1.513594006377680898e+03
2.416999999999999886e+02	1.330082508226161053e+03	1.347517802734893849e+03	1.223943720318821761e+03	1.513150161622431369e+03
2.425300000000000011e+02	1.329718531763206101e+03	1.347003075484230294e+03	1.223454707328985933e+03	1.512708237748445072e+03
2.433599999999999852e+02	1.329356123518934055e+03	1.346490565972825607e+03	1.222967801286672511e+03	1.512268217935150005e+03
2.441899999999999977e+02	1.328995269810410264e+03	1.345980254850583606e+03	1.222482983808459721e+03	1.511830085569341463e+03
2.450199999999999818e+02	1.328635957122796071e+03	1.345472123005126377e+03	1.222000236736767874e+03	1.511393824241908987e+03
2.458499999999999943e+02	1.328278172106707871e+03	1.344966151558059437e+03	1.221519542136311202e+03	1.510959417744631082e+03
2.466799999999999784e+02	1.327921901575626180e+03	1.344462321861305782e+03	1.221040882290616082e+03	1.510526850067027681e+03
2.475099999999999909e+02	1.327567132503353150e+03	1.343960615493511796e+03	1.220564239698605661e+03	1.510096105393274456e+03
2.483399999999999750e+02	1.327213852021517141e+03	1.343461014256519093e+03	1.220089597071248136e+03	1.509667168099172613e+03
2.491699999999999875e+02	1.326862047417127769e+03	1.342963500171905025e+03	1.219616937328269614e+03	1.509240022749180071e+03
2.500000000000000000e+02	1.326511706130173479e+03	1.342468055477586404e+03	1.219146243594928592e+03	1.508814654093494937e+03
